year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2021-22,UTEP,TRUE,0.27,67.9,101.1,0.38,0.533,47.1,49,10.9,9.9,15.2,23.5
2021-22,Texas-Rio Grande Valley,FALSE,-10.18,73.2,97.5,0.374,0.536,47.2,49.9,7.1,8.5,18.8,25.1
2021-22,UTSA,FALSE,-10.46,70,95.7,0.338,0.476,50.9,46,8.1,7.2,15.2,31
2021-22,Texas Southern NCAA,TRUE,-3.3,69.7,98.6,0.309,0.514,53.2,42.7,7.9,13.6,18.2,33
2021-22,Texas State,TRUE,0.14,65.6,107,0.306,0.555,51.9,47.9,9.8,11.1,16.3,31.6
2021-22,Texas Tech NCAA,TRUE,20.08,67.3,106,0.341,0.556,54.6,52.2,11.8,12,17.2,33.2
2021-22,Texas NCAA,TRUE,17.01,64.5,105.9,0.361,0.538,50.8,54.1,11.8,10.1,15.3,31.5
2021-22,Toledo,TRUE,6.26,70.3,113.7,0.313,0.565,53.2,51,7.9,7.5,12.6,30.3
2021-22,Towson,TRUE,6.47,66.2,109.7,0.382,0.549,54.5,52.6,10.9,8.5,15.2,35.2
2021-22,Troy,TRUE,-3.56,69.1,99.3,0.405,0.528,52.5,57.3,11.3,6.3,19,31.6
2021-22,Tulane,FALSE,6.74,69.3,104.1,0.386,0.551,44.7,53.4,11.3,10,13.7,19.9
2021-22,Tulsa,FALSE,1.56,67.3,100.1,0.361,0.53,48.4,49,10.2,7.2,16.8,26.7
2021-22,UCLA NCAA,TRUE,19.3,66.5,111.4,0.312,0.539,52.5,50.3,10.3,9.6,11.3,31.4
2021-22,Utah State,TRUE,10.41,67.3,107.5,0.402,0.571,53,66.6,9,6.2,16.2,26.3
2021-22,Utah Valley,TRUE,2.37,68.2,102.5,0.313,0.549,55.8,59.5,7.9,11.8,19.2,32.8
2021-22,Utah,FALSE,5.45,67.2,102.9,0.394,0.526,50.2,55.5,6.8,7.5,15.6,29.3
2021-22,Valparaiso,FALSE,-1.61,67.4,101.8,0.38,0.553,49.2,47.8,9.2,8,14.7,16.9
2021-22,Vanderbilt,TRUE,11,68.9,102,0.456,0.538,49.6,49.8,10.4,10,16.6,27.5
2021-22,Vermont NCAA,TRUE,7.81,65.1,114.4,0.43,0.594,54.7,55,7.8,7.2,13.2,24.3
2021-22,Villanova NCAA,TRUE,19.31,63.6,112.5,0.463,0.56,51.5,48.9,9.4,6.8,13.4,31.2
2021-22,Virginia Commonwealth,TRUE,9.83,68.6,97.4,0.302,0.543,48.6,56.1,13.3,14.7,19.6,26.6
2021-22,VMI,TRUE,-2.47,69.2,112.9,0.55,0.593,49.7,58.3,6.9,8,14.8,24.4
2021-22,Virginia Tech NCAA,TRUE,14.48,63.6,111,0.411,0.576,51.4,55.2,8.4,9.3,15,27.9
2021-22,Virginia,TRUE,8.88,59.9,103.7,0.299,0.529,49.9,60.3,9.5,12.9,14.1,27.8
2021-22,Wagner,TRUE,-1.12,68.3,107,0.3,0.54,53.6,52.6,12,8.7,15.4,33.9
2021-22,Wake Forest,TRUE,13.24,71.2,108.7,0.424,0.585,52.2,53.9,9,10.1,17.2,26.8
2021-22,Washington State,TRUE,12.57,67.4,105.6,0.442,0.517,51.4,45.8,9.5,12.3,14,33.4
2021-22,Washington,TRUE,5.03,70.4,99.1,0.329,0.503,46.2,41,11.6,10.5,14.5,29.3
2021-22,Weber State,TRUE,-1.73,71.1,106.8,0.377,0.577,49,40,10.7,7.1,15,20.7
2021-22,West Virginia,FALSE,10.23,68.5,100,0.337,0.511,47.2,44.4,11.4,13.1,15.7,29.9
2021-22,Western Carolina,FALSE,-10.48,69.3,100.8,0.511,0.509,50,52.4,7,7.1,15.2,29.4
2021-22,Western Illinois,TRUE,-6.34,72.4,105.9,0.409,0.532,51.7,41.1,8.5,6.3,13.5,28.7
2021-22,Western Kentucky,TRUE,3.3,71,106.3,0.369,0.56,48.8,50.5,11.9,16.9,15.3,24.6
2021-22,Western Michigan,FALSE,-13.51,66.5,97.1,0.454,0.522,47.9,43.7,7.9,6.5,17.9,26.6
2021-22,Wichita State,TRUE,8.11,67.8,99.6,0.414,0.51,51.5,51.1,11,12.6,16.1,32.3
2021-22,William & Mary,FALSE,-13.91,69.9,90.3,0.39,0.497,49.7,50.7,9.3,8.5,20.2,26.9
2021-22,Winthrop,TRUE,-1.56,69.3,107.3,0.429,0.591,52,50.8,9.2,7.7,18.7,26.7
2021-22,Wisconsin NCAA,TRUE,13.13,67,104.4,0.36,0.518,50.1,44.8,7.9,7.8,11.4,26
2021-22,Wofford,TRUE,2.01,65.6,110.2,0.485,0.581,53,52,10.5,5.2,15.7,28.3
2021-22,Wright State NCAA,TRUE,-1.94,70,108.3,0.327,0.554,50.9,51.3,8.4,7.6,15.2,30.8
2021-22,Wyoming NCAA,TRUE,9.36,66.3,107.8,0.431,0.565,52,44.7,5.8,5.4,15,25.5
2021-22,Xavier,TRUE,13.23,69.1,105.8,0.356,0.541,51.9,55.9,10.7,11.4,14.6,29.3
2021-22,Yale NCAA,TRUE,-0.1,70.3,101.8,0.359,0.537,50.2,46.7,8.8,9.3,16.1,25.7
2021-22,Youngstown State,TRUE,-6.28,67.6,107.2,0.381,0.55,51.6,45.9,7.9,6.9,15.1,30.5
